src,location,caption,date
images/italy/tower.JPG,Pisa,It actually leans !!!,May 2024
images/italy/pisa.JPG,Pisa,Piazza dei Miracoli,May 2024
images/italy/window.JPG,Florence,Window framing of the Ponte Vecchio from the Uffizi gallery,May 2024
images/london/ldn_beef.jpeg,London,Posing with the beefeaters guarding the crown jewels at the tower of London,September 2024
images/london/ldn_mirror.jpeg,London,Convex mirror in one the old book-filled hiddens rooms of the Royal Instituion where Faraday used to live and work,September 2024
images/london/ldn_museum_tavern.jpeg,London,Guinness at the Museum Tavern notably frequented by Karl Marx,September 2024
images/london/ldn_contrast.jpeg,London,Contrasting view of the City skyline from the tower of London,September 2024
images/london/ldn_clock.jpeg,London,One of the several clocks sticking out of walls in the City of London with the Walkie Talkie in the background,September 2024
images/london/ldn_market.jpeg,London,Walking through Borough Market afterhours,September 2024
images/london/ldn_westminster_2.jpeg,London,Westminster Abbey,September 2024
images/london/ldn_window.jpeg,London,Window framing of the tower bridge from the tower of London,September 2024
images/corsica/lying.jpg,Corsica,Sunbathing in the flowers after a long exhausting hike. That's the life!,April 2024
images/corsica/house_sunset.jpg,Marseille,Dramatic seaside house in Marseille,April 2024
images/corsica/tree.jpg,Corsica,How is this tree real!? There's gotta be a bug in the simulation,April 2024
images/corsica/goat.jpg,Corsica,A goat on the side of the road,April 2024
images/corsica/tower.jpg,Corsica,Genoese tower,April 2024
images/corsica/house.jpg,Corsica,A house in the mountains,April 2024
images/corsica/gang.jpg,Corsica,Group photo,April 2024
images/corsica/climbing_in_sunset.jpg,Corsica,Climbing at sunset,April 2024
images/corsica/window.jpg,Corsica,Window view,April 2024
images/corsica/climbing.jpg,Corsica,Rock climbing,April 2024
images/corsica/boat_church.jpg,Corsica,Coastal church,April 2024
images/corsica/church_statue.jpg,Corsica,Church interior,April 2024
images/corsica/corsican_walls.jpg,Corsica,Ancient stone walls,April 2024
images/corsica/wave.jpg,Corsica,Mediterranean waves,April 2024
images/switzerland/sw_st_bernard_3.jpg,St. Bernard Pass,Backcountry skiing in the Great St. Bernard pass,February 2024
images/switzerland/sw_st_bernard_2.jpg,St. Bernard Pass,The Great St. Bernard Hospice where we drank and ate some well deserved wine and cheese,February 2024
images/switzerland/sw_st_bernard_4.jpg,St. Bernard Pass,Backcountry skiing in the Great St. Bernard pass,February 2024
images/switzerland/sw_lauterbrunnen.jpg,Lauterbrunnen,Lauterbrunnen valley,February 2024
images/switzerland/sw_matterhorn.jpg,Zermatt,Sunset on the Matterhorn,February 2024
images/switzerland/sw_lausanne_view_from_church.jpg,Lausanne,View of Lausanne and lake Geneva from the top of the Notre-Dame cathedral,February 2024
images/switzerland_fall24/evian.jpeg,Évian,The Cachat spring supposedly the first source for the famous Evian water is the reference for water quality measurements around the world. I swear it tasted good!,Fall 2024
images/massif_sunset.JPG,Swiss Alps,Alpine sunset,February 2024
images/japan/jp_arch.jpg,Japan,Sights on the Nakasendo trail,Summer 2023
images/japan/jp_shrine.jpg,Japan,For their annual festival in Nagiso they carry a shrine from one end of the village to the other,Summer 2023
images/japan/jp_monkey.jpg,Japan,Baby monkey in the Iwatayama Monkey Park in Kyoto,Summer 2023
images/japan/jp_street.jpg,Tokyo,The first walk down Dotombori is confusing to say the least,Summer 2023
images/japan/jp_wood_temple.jpg,Kyoto,Daitoku-ji temple in Kyoto,Summer 2023
images/japan/jp_tsubakuro.jpg,Japanese Alps,The view on Mt. Tsubakuro from the Ensanzo mountain hut,Summer 2023
images/japan/jp_magome.jpg,Magome,Calm street in Narai,Summer 2023
images/japan/jp_family.jpg,Japan,Family portrait,Summer 2023
images/japan/jp_lantern.jpg,Japan,Paper lantern,Summer 2023
images/japan/jp_restaurant.jpg,Japan,Traditional restaurant,Summer 2023
images/guadeloupe_waves.jpg,Guadeloupe,The rocky waves on the atlantic coast,Winter 2022
images/guadeloupe_cow.jpg,Guadeloupe,A very nice cow that let us cross his path,Winter 2022
images/guadeloupe_desirade.jpg,Guadeloupe,View of La Désirade island from La Pointe des Châteaux,Winter 2022
images/gaspesie_2.jpg,Gaspé,Backcountry skiing on Mt. Albert,Winter 2023
images/gaspesie_1.jpg,Gaspé,Backcountry skiing on Mt. Albert,Winter 2023
images/mtl_sunset.jpg,Montreal,The view from my apartment,Ongoing
images/sthilaire_apple.jpg,Mont-Saint-Hilaire,An apple from an orchard in St-Hilaire,Fall 2022
images/martinique_stpierre.jpg,Martinique,Walking around Saint-Pierre,Winter 2022
